x,y_num,y_exact,delta
0.000000000000,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
0.050000000000,1.052542187500e+00,1.052542192752e+00,5.252048351778e-09
0.100000000000,1.110341825109e+00,1.110341836151e+00,1.104265279217e-08
0.150000000000,1.173668468043e+00,1.173668485457e+00,1.741323241156e-08
0.200000000000,1.242805498638e+00,1.242805516320e+00,1.768253388157e-08
0.250000000000,1.318050815523e+00,1.318050833375e+00,1.785212466743e-08
0.300000000000,1.399717597121e+00,1.399717615152e+00,1.803139104695e-08
0.350000000000,1.488135079012e+00,1.488135097187e+00,1.817447148333e-08
0.400000000000,1.583649376998e+00,1.583649395283e+00,1.828439932794e-08
0.450000000000,1.686624352622e+00,1.686624370980e+00,1.835791230143e-08
0.500000000000,1.797442523009e+00,1.797442541400e+00,1.839089325273e-08
0.550000000000,1.916506017356e+00,1.916506035735e+00,1.837899721302e-08
0.600000000000,2.044237582463e+00,2.044237600781e+00,1.831753637660e-08
0.650000000000,2.181081639826e+00,2.181081658028e+00,1.820146078302e-08
0.700000000000,2.327505396916e+00,2.327505414941e+00,1.802532967332e-08
0.750000000000,2.484000015442e+00,2.484000033225e+00,1.778329172808e-08
0.800000000000,2.651081839516e+00,2.651081856985e+00,1.746905065048e-08
0.850000000000,2.829293686776e+00,2.829293703852e+00,1.707583940913e-08
0.900000000000,3.019206205718e+00,3.019206222314e+00,1.659638648732e-08
0.950000000000,3.221419302609e+00,3.221419318632e+00,1.602288124403e-08
1.000000000000,3.436563641571e+00,3.436563656918e+00,1.534694060723e-08
1.050000000000,3.665302221567e+00,3.665302236126e+00,1.455956777363e-08
1.100000000000,3.908332034242e+00,3.908332047893e+00,1.365111135243e-08
1.150000000000,4.166385806768e+00,4.166385819380e+00,1.261122939411e-08
1.200000000000,4.440233834044e+00,4.440233845473e+00,1.142882943839e-08
1.250000000000,4.730685904832e+00,4.730685914924e+00,1.009203032254e-08
1.300000000000,5.038593326650e+00,5.038593335238e+00,8.588112443420e-09
1.350000000000,5.364851054491e+00,5.364851061394e+00,6.903449367712e-09
1.400000000000,5.710399928666e+00,5.710399933689e+00,5.023462534837e-09
1.450000000000,6.076229027405e+00,6.076229030338e+00,2.932548426315e-09
1.500000000000,6.463378140062e+00,6.463378140676e+00,6.140234987129e-10
1.550000000000,6.872940367131e+00,6.872940365181e+00,1.949957528780e-09
1.600000000000,7.306064853569e+00,7.306064848790e+00,4.778469175903e-09
1.650000000000,7.763959662252e+00,7.763959654360e+00,7.891894249212e-09
1.700000000000,8.247894794766e+00,8.247894783454e+00,1.131201798898e-08
1.750000000000,8.759205367074e+00,8.759205352011e+00,1.506210267621e-08
1.800000000000,9.299294947993e+00,9.299294928826e+00,1.916699332583e-08
1.850000000000,9.869639068857e+00,9.869639045204e+00,2.365321449815e-08
1.900000000000,1.047178891311e+01,1.047178888456e+01,2.854907599215e-08
1.950000000000,1.110737519506e+01,1.110737516118e+01,3.388479541400e-08
2.000000000000,1.177811223755e+01,1.177811219786e+01,3.969260475856e-08
